"","DateHour","LocationID","VisitID","ID","CharacteristicID","ResultValue","Units","Qualifier","FlagID","MethodID","ResultComment","SampleDepth","UniqueID","Datetime","ProjectID","SampleTypeID","HasFlow","SampleDepthType","Comment","LocationDescription","WaterBodyID","MunicipalityID","Latitude","Longitude","LocationTypeID","LocationMethod","CoordinateSystem","InWatershed","RegionalID","WaterType","Owner","StaffGage","County","CatchmentArea_Sqmi","Precip.48","Weather"
"1",2015-06-29 08:00:00,"WEPBOBC",121254,415710,"ECOLI",554,"MPN/100ml",NA,NA,6,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"2",2015-06-29 08:00:00,"WEPBOBC",121254,415709,"TEMP_WATER",20.621,"deg C",NA,NA,67,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"3",2015-06-29 08:00:00,"WEPBOBC",121254,415712,"DO",9.01,"mg/l",NA,NA,24,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"4",2015-06-29 08:00:00,"WEPBOBC",121254,415714,"DO_SAT",100.634594011613,"%",NA,NA,24,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"5",2015-06-29 08:00:00,"WEPBOBC",121254,415713,"TURB",5.17,"NTU",NA,NA,205,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"6",2015-06-29 08:00:00,"WEPBOBC",121254,415711,"SPCOND",903.5,"uS/cm",NA,NA,71,NA,NA,"201506290953_WEPBOBC_RECFLAG_S",2015-06-29 08:53:00,"RECFLAG","S",1,NA,NA,"Center of the beach, about 2- 2 ½ ft. deep. Sample collected at a depth of about 14 inches","Wedge Pond","Winchester",42.453902,-71.142966,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"7",2015-06-29 09:00:00,"UPLSHBC",121255,415717,"DO",8.88,"mg/l",NA,NA,24,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"8",2015-06-29 09:00:00,"UPLSHBC",121255,415720,"TURB",3.01,"NTU",NA,NA,205,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"9",2015-06-29 09:00:00,"UPLSHBC",121255,415718,"DO_SAT",100.833787359158,"%",NA,NA,24,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"10",2015-06-29 09:00:00,"UPLSHBC",121255,415719,"ENT",158,"MPN/100ml",NA,NA,13,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"11",2015-06-29 09:00:00,"UPLSHBC",121255,415715,"SPCOND",931.8,"uS/cm",NA,NA,71,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"12",2015-06-29 09:00:00,"UPLSHBC",121255,415716,"TEMP_WATER",21.46,"deg C",NA,NA,67,NA,NA,"201506291048_UPLSHBC_RECFLAG_S",2015-06-29 09:48:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach","Upper Mystic Lake","Winchester",42.439907,-71.146155,13,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"13",2015-06-29 10:00:00,"WRPBCHC",121256,415725,"DO_SAT",87.7712634718393,"%",NA,NA,24,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"14",2015-06-29 10:00:00,"WRPBCHC",121256,415726,"DO",7.64,"mg/l",NA,NA,24,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"15",2015-06-29 10:00:00,"WRPBCHC",121256,415722,"SPCOND",762.7,"uS/cm",NA,NA,71,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"16",2015-06-29 10:00:00,"WRPBCHC",121256,415721,"ECOLI",10,"MPN/100ml",NA,NA,6,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"17",2015-06-29 10:00:00,"WRPBCHC",121256,415724,"TURB",0.77,"NTU",NA,NA,205,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"18",2015-06-29 10:00:00,"WRPBCHC",121256,415723,"TEMP_WATER",22.063,"deg C",NA,NA,67,NA,NA,"201506291126_WRPBCHC_RECFLAG_S",2015-06-29 10:26:00,"RECFLAG","S",1,NA,NA,"waste deep, center of beach, sample with pole","Wrights Pond","Medford",42.439553,-71.099828,20,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"19",2015-06-29 11:00:00,"MAR0065",121257,415730,"DO_SAT",86.4946528089068,"%",NA,NA,24,NA,NA,"201506291209_MAR0065_RECFLAG_S",2015-06-29 11:09:00,"RECFLAG","S",1,NA,NA,"Center of the stream. Sample from route 16 bridge upstream side","Malden River","Everett",42.403923,-71.072533,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"20",2015-06-29 11:00:00,"MAR0065",121257,415732,"TURB",7.69,"NTU",NA,NA,205,NA,NA,"201506291209_MAR0065_RECFLAG_S",2015-06-29 11:09:00,"RECFLAG","S",1,NA,NA,"Center of the stream. Sample from route 16 bridge upstream side","Malden River","Everett",42.403923,-71.072533,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"21",2015-06-29 11:00:00,"MYRBOBDOCK",121258,415738,"ENT",86,"MPN/100ml",NA,NA,13,NA,NA,"201506291239_MYRBOBDOCK_RECFLAG_S",2015-06-29 11:39:00,"RECFLAG","S",1,NA,NA,"From Blessing of the Bay Boathouse furthest dock","Mystic River (Fresh)","Somerville",42.3987,-71.090461,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"22",2015-06-29 11:00:00,"MAR0065",121257,415728,"SPCOND",1267.5,"uS/cm",NA,NA,71,NA,NA,"201506291209_MAR0065_RECFLAG_S",2015-06-29 11:09:00,"RECFLAG","S",1,NA,NA,"Center of the stream. Sample from route 16 bridge upstream side","Malden River","Everett",42.403923,-71.072533,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"23",2015-06-29 11:00:00,"MYRBOBDOCK",121258,415737,"ECOLI",199,"MPN/100ml",NA,NA,6,NA,NA,"201506291239_MYRBOBDOCK_RECFLAG_S",2015-06-29 11:39:00,"RECFLAG","S",1,NA,NA,"From Blessing of the Bay Boathouse furthest dock","Mystic River (Fresh)","Somerville",42.3987,-71.090461,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
"24",2015-06-29 11:00:00,"MAR0065",121257,415729,"DO",7.82,"mg/l",NA,NA,24,NA,NA,"201506291209_MAR0065_RECFLAG_S",2015-06-29 11:09:00,"RECFLAG","S",1,NA,NA,"Center of the stream. Sample from route 16 bridge upstream side","Malden River","Everett",42.403923,-71.072533,22,"Interpolation-Map","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,1.35,"Wet"
